question,answer
"Why is the 'Amount' column in the CICL-CHAKA funding worksheet incorrect and not reconcilable?","The report was checked, and it was found that the sheet used for the reconciliations had the data mixed up during the reconciliation process."
"Detail the steps to resolve an error message displayed when trying to upload a trade.","Go to Stock Brokerage. Select Quoted Securities. Search for the stock code. Under the Classification Tab, set the asset class to Equities."
"Provide the steps to address an error related to assigned CSCS numbers and updating records.","The error message indicates that the CSCS numbers are already assigned. To resolve this, run the following query to disable the additional number from being processed: BEGIN TRAN UPDATE [Cust_CSCSKYC_SentToCsCs] SET [Status] = '1' WHERE ReqNum IN ('','') ROLLBACK --COMMIT. Ensure to include the 'Request Number' in the IN clause to remove the request numbers from further processing."
"Detail the steps taken to correct the error in bonds settlement due to improper fee group configuration.","The issue was investigated, and it was found that the error in bonds settlement occurred because the fee group for Bonds was not properly configured. To resolve this, the following steps were taken: The trade was reversed. Then, in the 'StockBrokerage' module, under the 'Trade/OMS' menu, the 'Fee-Groups' option was selected. The group 'Default Bonds Fee Group' was classified with the Asset Class set as 'Bonds.' Finally, the Bonds trade was re-uploaded, and the trade settlement posting for the Bond transaction was confirmed."
"Explain the issue encountered when exporting data from the Pre-Allotment section in the Custodian Menu.","It was observed that when a user tries to export data from Stock Brokerage >> Custodian Menu >> Trade Processing >> Pre-Allotment, the generated file appears corrupted and cannot be viewed in Excel."
"How can I adjust the commission on InfoWARE?","To adjust the commission on InfoWARE, first create a new group by navigating to the Stock Brokerage Module, clicking on the Commission Menu, and then selecting the Graduated Commission Rates Form. Click 'Add Group,' fill in the necessary information, and save. Next, select the newly created group from the Group List drop-down, click 'New,' and enter 'up to' in the Row Name column and '1.0' in the Consideration Amount column. Set the Buy rate, Sell rate, online Buy rate, and online Sell rate, then click save. To edit group details, go back to the Graduated Commission Rates Form, select the desired group, adjust the rates, and save. To add clients to the group, select the Commission Group form under the Commission Menu, choose the group from the Group Name drop-down, click 'New,' enter the customer’s ID in the Cust ID column, and save."
"How do I merge NGX NASD accounts on InfoWARE?","To merge NGX NASD accounts on InfoWARE, start by merging the Portfolio Holdings: Navigate to Stock Brokerage >> Merge/Rename Portfolio, select the source (B) and target (A) portfolios, and click Save. Next, merge account balances and margins by going to Financials >> New Account/Account Setup >> Merge/Rename, choose the source (B) and target (A) accounts, and click Save. After merging, confirm the process by checking the Portfolio Holding and Margin/Account Info for both Customer IDs. Then, delete the CSCS records for Customer ID B by going to Maintain >> Customers, input the Customer ID, select CSCS Stock #, and delete the records before saving. Finally, set Customer ID B to Dormant by navigating to Financials >> Account Dormancy, selecting the account ID with the radio button, setting the Dormant Status to Dormant, and entering the reasons as 'Duplicate' and the comment as 'Duplicate of A' before clicking Save."
"What are the steps to create an agent on InfoWARE?","To create an agent on InfoWARE, first go to the Maintain module by navigating to Maintain >> Customer. Create the agent and grant Agency Involvement. Next, assign the agent in the Stock Brokerage module by going to Stock Brokerage >> Trade/OMS >> Agency, selecting the agent from the drop-down menu, filling in the necessary details, and saving. To add a customer to the agent, go back to Stock Brokerage >> Trade/OMS >> Agency, select the agent from the drop-down menu, click on 'New,' enter the customer information, and save."
"Detail the process of adding a new bank to the list of banks in the Maintain Module.","To add a new bank, first go to Administration >> Parameter Updater >> Global Parameter >> BANKNAMES. Click on 'New' and add the bank. Next, go to Financials >> Fin year start Menu >> Custom Table Editor >> CSCS Bank Sort code listing. Click on 'New,' add the details, link the bank with its CSCS bank code, and save."
"Detail the process followed during the session to update a certificate deposit that lacked a purchase price.","The certificate deposit was updated by navigating to Stockbrokerage >> Trade/OMS >> Cert in hand. The custaid was searched, and the deposit without a purchase price was deleted. A new entry was then created by selecting the stock code, inputting the unit and purchase price, and saving the changes."
"Outline the steps to address the issue with the GL aggregation process when the window task scheduler fails.","It was discussed that the window task scheduler triggers the GL aggregation. When the scheduler fails, the aggregation process does not run, resulting in the reported issue. It was also noted that if the aggregation hasn't run, a manual run can be initiated. To do this, one should navigate to Financials >> Aggregation >> Daily Run, select the trade date as the effective date, and click on run to manually start the aggregation process."
